Algorithm,Weakness,Quantum Threat,Action
RSA-3072,Weak hash function,Shor’s Algorithm,Switch to quantum-safe HSM
AES-128,Moderate key length,Grover’s Algorithm,Implement NIST PQC
SHA-256,Moderate key length,Grover’s Algorithm,Replace with Falcon
3DES,Moderate key length,Amplitude Amplification Attack,Implement NIST PQC
RSA-2048,Low entropy in RNG,Amplitude Amplification Attack,Implement NIST PQC
DES,Outdated protocol,Grover’s Algorithm,Replace with Falcon
AES-128,Limited key space,Quantum Curve Attack,Implement NIST PQC
AES-128,Low entropy in RNG,Grover’s Algorithm,Replace with Falcon
ECC-P256,Outdated protocol,Grover’s Algorithm,Replace with Falcon
AES-128,Moderate key length,Quantum Curve Attack,Use Dilithium
RSA-3072,Low entropy in RNG,Quantum Curve Attack,Upgrade to AES-256
Blowfish,Outdated protocol,Quantum Key Search,Use Dilithium
RSA-2048,Moderate key length,Amplitude Amplification Attack,Use Dilithium
RSA-3072,Low entropy in RNG,Amplitude Amplification Attack,Use Dilithium
AES-256,Low entropy in RNG,Amplitude Amplification Attack,Replace with Falcon
DES,Weak hash function,Amplitude Amplification Attack,Implement NIST PQC
AES-256,Vulnerable curve parameters,Quantum Key Search,Transition to CRYSTALS-Kyber
SHA-512,Outdated protocol,Quantum Key Search,Upgrade to AES-256
ECC-P256,Limited key space,Grover’s Algorithm,Switch to quantum-safe HSM
SHA-256,Moderate key length,Shor’s Algorithm,Replace with Falcon
SHA-512,Limited key space,Quantum Curve Attack,Use Dilithium
ECC-P256,Limited key space,Shor’s Algorithm,Replace with Kyber
ECC-P256,Vulnerable curve parameters,Grover’s Algorithm,Implement NIST PQC
Blowfish,Outdated protocol,Grover’s Algorithm,Transition to CRYSTALS-Kyber
RSA-2048,Low entropy in RNG,Amplitude Amplification Attack,Replace with Kyber
AES-256,Outdated protocol,Quantum Key Search,Use Dilithium
SHA-256,Limited key space,Shor’s Algorithm,Adopt SPHINCS+
AES-128,Vulnerable curve parameters,Shor’s Algorithm,Replace with Falcon
RSA-2048,Limited key space,Quantum Key Search,Implement NIST PQC
SHA-256,Outdated protocol,Quantum Curve Attack,Implement NIST PQC
RSA-2048,Vulnerable curve parameters,Shor’s Algorithm,Implement NIST PQC
DES,Deprecated algorithm,Quantum Key Search,Replace with Kyber
Blowfish,Weak hash function,Quantum Key Search,Upgrade to AES-256
Blowfish,Vulnerable curve parameters,Quantum Key Search,Implement NIST PQC
ECC-P256,Vulnerable curve parameters,Quantum Curve Attack,Upgrade to AES-256
RSA-3072,Outdated protocol,Quantum Curve Attack,Implement NIST PQC
3DES,Weak hash function,Quantum Curve Attack,Replace with Falcon
RSA-2048,Deprecated algorithm,Amplitude Amplification Attack,Replace with Falcon
ECC-P256,Vulnerable curve parameters,Quantum Key Search,Adopt SPHINCS+
DES,Limited key space,Amplitude Amplification Attack,Adopt SPHINCS+
DES,Small key size,Grover’s Algorithm,Replace with Falcon
Blowfish,Limited key space,Shor’s Algorithm,Replace with Kyber
RSA-3072,Low entropy in RNG,Grover’s Algorithm,Transition to CRYSTALS-Kyber
DES,Weak hash function,Amplitude Amplification Attack,Switch to quantum-safe HSM
DES,Deprecated algorithm,Quantum Key Search,Upgrade to AES-256
3DES,Deprecated algorithm,Quantum Key Search,Replace with Kyber
Blowfish,Deprecated algorithm,Quantum Curve Attack,Switch to quantum-safe HSM
DES,Weak hash function,Quantum Key Search,Upgrade to AES-256
RSA-2048,Moderate key length,Shor’s Algorithm,Transition to CRYSTALS-Kyber
RSA-2048,Deprecated algorithm,Quantum Curve Attack,Replace with Kyber
AES-256,Small key size,Shor’s Algorithm,Adopt SPHINCS+
RSA-3072,Outdated protocol,Grover’s Algorithm,Use Dilithium
RSA-3072,Outdated protocol,Quantum Curve Attack,Adopt SPHINCS+
Blowfish,Low entropy in RNG,Shor’s Algorithm,Adopt SPHINCS+
SHA-512,Low entropy in RNG,Grover’s Algorithm,Adopt SPHINCS+
RSA-3072,Small key size,Quantum Curve Attack,Switch to quantum-safe HSM
3DES,Susceptible to brute force,Shor’s Algorithm,Adopt SPHINCS+
RSA-3072,Weak hash function,Grover’s Algorithm,Switch to quantum-safe HSM
ECC-P256,Outdated protocol,Shor’s Algorithm,Transition to CRYSTALS-Kyber
RSA-3072,Susceptible to brute force,Grover’s Algorithm,Switch to quantum-safe HSM
